Campaign name,Ad group,Date,Impressions,Clicks,Average CPC,Cost,Conversions,Conversion value,CTR,Device,Network
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-01,3661,259,2.82,730.38,2,2400,7.09%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-01,5201,433,3.85,1667.05,19,34200,8.34%,Mobile,YouTube
New Store Launch,AdGroup - New,2025-01-01,2212,201,1.81,363.81,3,2850,9.13%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-01,2218,220,2.85,627.0,8,17600,9.95%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-01,5115,348,1.82,633.36,4,2800,6.82%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-02,779,44,2.97,130.68,0,0,5.7%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-02,2896,125,3.73,466.25,4,7200,4.33%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-01-02,1085,88,2.35,206.8,4,3800,8.16%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-02,2743,180,2.89,520.2,12,26400,6.6%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-02,1836,75,1.85,138.75,1,700,4.11%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-03,1901,177,3.02,534.54,4,4800,9.34%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-03,4313,128,3.9,499.2,2,3600,2.98%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-01-03,4135,478,1.97,941.66,6,5700,11.57%,Desktop,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-01-03,4421,529,4.38,2317.02,26,57200,11.99%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-03,3047,201,1.83,367.83,4,2800,6.6%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-04,50,2,2.87,5.74,0,0,5.13%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-04,4289,363,2.86,1038.18,19,34200,8.49%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-01-04,3686,242,2.27,549.34,2,1900,6.57%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-04,3360,278,4.1,1139.8,13,28600,8.28%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-04,2564,227,1.74,394.98,1,700,8.86%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-05,3302,240,1.54,369.6,2,2400,7.28%,Mobile,Google Display
Valentine Push,AdGroup - Valentine,2025-01-05,2876,158,3.2,505.6,5,9000,5.52%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-01-05,2864,114,2.46,280.44,1,950,3.99%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-05,4044,473,5.24,2478.52,24,52800,11.72%,Mobile,Google Display
Referral Boost,AdGroup - Referral,2025-01-05,1430,82,1.84,150.88,1,700,5.8%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-06,2161,204,1.89,385.56,1,1200,9.45%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-06,1741,113,3.72,420.36,6,10800,6.53%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-01-06,1070,69,1.92,132.48,3,2850,6.53%,Desktop,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-01-06,1061,37,4.53,167.61,3,6600,3.54%,Desktop,Google Display
Referral Boost,AdGroup - Referral,2025-01-06,3362,274,2.11,578.14,0,0,8.18%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-07,5715,509,1.9,967.1,9,10800,8.92%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-07,3901,382,4.01,1531.82,19,34200,9.81%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-01-07,2548,133,1.64,218.12,6,5700,5.24%,Mobile,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-01-07,1692,188,4.54,853.52,9,19800,11.13%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-07,3855,189,1.41,266.49,4,2800,4.93%,Tablet,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-08,3640,259,2.87,743.33,8,9600,7.13%,Tablet,YouTube
Valentine Push,AdGroup - Valentine,2025-01-08,1646,48,2.91,139.68,1,1800,2.96%,Mobile,YouTube
New Store Launch,AdGroup - New,2025-01-08,4201,394,2.71,1067.74,4,3800,9.39%,Mobile,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-01-08,3003,122,4.39,535.58,7,15400,4.07%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-01-08,3757,383,1.58,605.14,5,3500,10.22%,Desktop,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-09,3689,703,2.79,1961.37,12,14400,19.06%,Desktop,YouTube
Valentine Push,AdGroup - Valentine,2025-01-09,4620,186,2.24,416.64,4,7200,4.04%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-01-09,6388,121,2.27,274.67,0,0,1.9%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-01-09,497,23,3.83,88.09,1,2200,4.82%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-01-09,1821,148,1.82,269.36,1,700,8.15%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-10,1939,146,2.72,397.12,1,1200,7.55%,Desktop,Google Search
Valentine Push,AdGroup - Valentine,2025-01-10,1727,123,3.52,432.96,4,7200,7.16%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-01-10,4215,356,1.36,484.16,9,8550,8.45%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-10,6099,646,2.85,1841.1,34,74800,10.6%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-10,2190,193,2.08,401.44,2,1400,8.83%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-11,974,69,1.5,103.5,1,1200,7.18%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-11,966,114,2.28,259.92,4,7200,11.82%,Desktop,Google Display
New Store Launch,AdGroup - New,2025-01-11,2612,200,2.26,452.0,4,3800,7.68%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-01-11,3105,431,2.5,1077.5,29,63800,13.9%,Mobile,YouTube
Referral Boost,AdGroup - Referral,2025-01-11,2187,177,2.12,375.24,0,0,8.12%,Desktop,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-12,2219,190,2.15,408.5,3,3600,8.57%,Desktop,Google Display
Valentine Push,AdGroup - Valentine,2025-01-12,1972,199,3.55,706.45,10,18000,10.13%,Tablet,Google Search
New Store Launch,AdGroup - New,2025-01-12,1851,209,1.76,367.84,3,2850,11.33%,Desktop,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-01-12,5245,324,3.77,1221.48,21,46200,6.18%,Mobile,Google Display
Referral Boost,AdGroup - Referral,2025-01-12,3309,315,1.69,532.35,2,1400,9.55%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-13,2510,142,3.46,491.32,2,2400,5.66%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-13,4514,495,3.71,1836.45,23,41400,10.97%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-01-13,1867,139,1.16,161.24,5,4750,7.47%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-13,5572,486,3.64,1769.04,26,57200,8.74%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-13,2266,183,2.0,366.0,0,0,8.11%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-14,4225,133,1.8,239.4,3,3600,3.16%,Desktop,YouTube
Valentine Push,AdGroup - Valentine,2025-01-14,1920,222,1.9,421.8,13,23400,11.58%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-01-14,5271,392,1.88,736.96,4,3800,7.44%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-14,4823,473,4.5,2128.5,22,48400,9.81%,Mobile,YouTube
Referral Boost,AdGroup - Referral,2025-01-14,3049,249,1.8,448.2,0,0,8.17%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-15,6330,551,2.28,1256.28,9,10800,8.72%,Mobile,YouTube
Valentine Push,AdGroup - Valentine,2025-01-15,5706,802,2.68,2149.36,36,64800,14.07%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-01-15,1777,141,2.14,301.74,2,1900,7.95%,Desktop,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-01-15,5730,557,5.31,2957.67,27,59400,9.73%,Desktop,YouTube
Referral Boost,AdGroup - Referral,2025-01-15,4685,285,1.18,336.3,6,4200,6.09%,Desktop,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-16,4947,49,2.05,100.45,0,0,1.0%,Mobile,YouTube
Valentine Push,AdGroup - Valentine,2025-01-16,2924,223,2.91,648.93,8,14400,7.64%,Mobile,YouTube
New Store Launch,AdGroup - New,2025-01-16,3850,130,2.21,287.3,3,2850,3.39%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-16,3415,179,5.37,961.23,9,19800,5.25%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-01-16,3090,326,1.86,606.36,3,2100,10.58%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-17,3884,450,2.02,909.0,4,4800,11.61%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-17,3945,91,4.12,374.92,3,5400,2.31%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-01-17,5170,399,2.65,1057.35,11,10450,7.72%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-17,846,63,4.75,299.25,2,4400,7.46%,Mobile,YouTube
Referral Boost,AdGroup - Referral,2025-01-17,50,3,1.33,3.99,0,0,7.23%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-18,3921,164,2.74,449.36,2,2400,4.2%,Desktop,Google Search
Valentine Push,AdGroup - Valentine,2025-01-18,1438,129,2.86,368.94,3,5400,9.01%,Mobile,Google Search
